Episode,Score,Steps,Epsilon,GhostsEaten
321,50,10,0.879478916838673,0
322,50,28,0.8791271252719375,0
323,120,61,0.8787754744218288,0
324,90,25,0.8784239642320602,0
325,240,51,0.8780725946463673,0
326,50,13,0.8777213656085088,0
327,170,45,0.8773702770622654,0
328,20,9,0.8770193289514405,0
329,390,208,0.8766685212198599,0
330,290,110,0.8763178538113721,0
331,100,36,0.8759673266698476,0
332,110,46,0.8756169397391796,0
333,90,89,0.875266692963284,0
334,50,20,0.8749165862860987,0
335,120,43,0.8745666196515843,0
336,320,215,0.8742167930037238,0
337,80,54,0.8738671062865223,0
338,60,66,0.8735175594440078,0
339,320,163,0.8731681524202302,0
340,120,83,0.8728188851592621,0
341,170,79,0.8724697576051984,0
342,200,108,0.8721207697021564,0
343,190,73,0.8717719213942755,0
344,250,207,0.8714232126257179,0
345,350,202,0.8710746433406676,0
346,90,27,0.8707262134833315,0
347,70,21,0.8703779229979381,0
348,260,136,0.870029771828739,0
349,50,14,0.8696817599200075,0
350,300,135,0.8693338872160395,0
351,40,11,0.8689861536611532,0
352,300,221,0.8686385591996888,0
353,70,47,0.8682911037760089,0
354,40,23,0.8679437873344986,0
355,300,191,0.8675966098195649,0
356,280,140,0.8672495711756371,0
357,380,270,0.8669026713471668,0
358,300,157,0.866555910278628,0
359,110,60,0.8662092879145166,0
360,140,95,0.8658628041993508,0
361,270,148,0.865516459077671,0
362,380,224,0.86517025249404,0
363,300,154,0.8648241843930424,0
364,80,48,0.8644782547192853,0
365,70,24,0.8641324634173976,0
366,230,184,0.8637868104320306,0
367,400,204,0.8634412957078579,0
368,70,71,0.8630959191895747,0
369,290,175,0.862750680821899,0
370,240,79,0.8624055805495703,0
371,50,28,0.8620606183173505,0
372,270,133,0.8617157940700236,0
373,120,36,0.8613711077523957,0
374,280,109,0.8610265593092947,0
375,100,56,0.860682148685571,0
376,220,91,0.8603378758260969,0
377,100,78,0.8599937406757665,0
378,240,139,0.8596497431794963,0
379,80,60,0.8593058832822245,0
380,10,4,0.8589621609289116,0
381,40,26,0.8586185760645401,0
382,120,52,0.8582751286341143,0
383,490,267,0.8579318185826607,1
384,190,55,0.8575886458552276,0
385,120,59,0.8572456103968856,0
386,140,61,0.856902712152727,0
387,160,64,0.8565599510678659,0
388,90,29,0.8562173270874388,0
389,410,181,0.8558748401566039,0
390,60,16,0.8555324902205412,0
391,190,199,0.8551902772244531,0
392,60,25,0.8548482011135633,0
393,280,209,0.854506261833118,0
394,120,65,0.8541644593283847,0
395,310,203,0.8538227935446534,0
396,260,164,0.8534812644272356,0
397,90,44,0.8531398719214648,0
398,350,245,0.8527986159726962,0
399,60,18,0.8524574965263072,0
400,300,159,0.8521165135276967,0
401,290,179,0.8517756669222857,0
402,100,34,0.8514349566555168,0
403,60,32,0.8510943826728546,0
404,120,37,0.8507539449197855,0
405,70,25,0.8504136433418177,0
406,80,39,0.850073477884481,0
407,210,73,0.8497334484933272,0
408,210,123,0.8493935551139299,0
409,260,82,0.8490537976918844,0
410,280,225,0.8487141761728076,0
411,110,28,0.8483746905023386,0
412,80,83,0.8480353406261377,0
413,310,259,0.8476961264898873,0
414,60,10,0.8473570480392915,0
415,250,277,0.8470181052200758,0
416,250,199,0.8466792979779878,0
417,70,22,0.8463406262587967,0
418,240,89,0.8460020900082932,0
419,220,118,0.84566368917229,0
420,290,117,0.8453254236966211,0
421,140,74,0.8449872935271425,0
422,70,29,0.8446492986097317,0
423,90,25,0.8443114388902878,0
424,50,25,0.8439737143147318,0
425,120,92,0.843636124829006,0
426,110,50,0.8432986703790744,0
427,130,28,0.8429613509109227,0
428,400,157,0.8426241663705584,0
429,50,11,0.8422871167040101,0
430,120,49,0.8419502018573286,0
431,300,185,0.8416134217765857,0
432,110,38,0.8412767764078751,0
433,100,97,0.8409402656973121,0
434,50,23,0.8406038895910332,0
435,300,209,0.8402676480351968,0
436,280,175,0.8399315409759828,0
437,280,136,0.8395955683595924,0
438,70,56,0.8392597301322485,0
439,310,156,0.8389240262401957,0
440,150,71,0.8385884566296996,0
441,130,57,0.8382530212470478,0
442,240,145,0.837917720038549,0
443,80,58,0.8375825529505336,0
444,330,175,0.8372475199293534,0
445,110,60,0.8369126209213817,0
446,300,169,0.8365778558730133,0
447,520,213,0.836243224730664,0
448,60,25,0.8359087274407718,0
449,180,98,0.8355743639497956,0
450,60,39,0.8352401342042157,0
451,320,250,0.8349060381505341,0
452,70,25,0.8345720757352739,0
453,120,96,0.8342382469049798,0
454,140,54,0.8339045516062179,0
455,380,192,0.8335709897855754,0
456,60,27,0.8332375613896612,0
457,530,253,0.8329042663651054,0
458,140,92,0.8325711046585594,0
459,270,229,0.8322380762166961,0
460,110,43,0.8319051809862095,0
461,110,46,0.8315724189138151,0
462,40,15,0.8312397899462496,0
463,240,102,0.8309072940302711,0
464,80,38,0.830574931112659,0
465,330,142,0.830242701140214,0
466,290,260,0.829910604059758,0
467,390,317,0.8295786398181342,0
468,120,98,0.829246808362207,0
469,80,87,0.8289151096388622,0
470,120,75,0.8285835435950066,0
471,70,34,0.8282521101775686,0
472,140,62,0.8279208093334977,0
473,210,61,0.8275896410097643,0
474,540,424,0.8272586051533605,0
475,320,126,0.8269277017112991,0
476,70,37,0.8265969306306147,0
477,310,209,0.8262662918583624,0
478,280,92,0.8259357853416192,0
479,400,108,0.8256054110274825,0
480,230,129,0.8252751688630716,0
481,40,10,0.8249450587955264,0
482,50,18,0.8246150807720082,0
483,400,257,0.8242852347396994,0
484,410,124,0.8239555206458036,0
485,290,225,0.8236259384375453,0
486,70,26,0.8232964880621703,0
487,410,181,0.8229671694669455,0
488,140,81,0.8226379825991588,0
489,70,28,0.8223089274061192,0
490,380,88,0.8219800038351568,0
491,100,53,0.8216512118336228,0
492,370,156,0.8213225513488893,0
493,70,31,0.8209940223283498,0
494,100,38,0.8206656247194185,0
495,40,19,0.8203373584695308,0
496,90,27,0.820009223526143,0
497,400,198,0.8196812198367326,0
498,360,173,0.819353347348798,0
499,240,136,0.8190256060098584,0
500,330,189,0.8186979957674545,0
501,120,51,0.8183705165691476,0
502,250,102,0.81804316836252,0
503,210,79,0.817715951095175,0
504,100,28,0.817388864714737,0
505,120,28,0.8170619091688511,0
506,50,24,0.8167350844051836,0
507,80,40,0.8164083903714215,0
508,390,163,0.816081827015273,0
509,510,354,0.8157553942844669,0
510,380,239,0.8154290921267531,0
511,120,40,0.8151029204899024,0
512,120,25,0.8147768793217065,0
513,460,273,0.8144509685699779,0
514,100,58,0.81412518818255,0
515,140,116,0.813799538107277,0
516,190,76,0.8134740182920341,0
517,580,238,0.8131486286847174,0
518,100,36,0.8128233692332435,0
519,50,15,0.8124982398855503,0
520,220,77,0.8121732405895961,0
521,330,159,0.8118483712933603,0
522,90,92,0.811523631944843,0
523,50,13,0.8111990224920651,0
524,280,89,0.8108745428830683,0
525,160,39,0.810550193065915,0
526,90,56,0.8102259729886887,0
527,300,153,0.8099018825994933,0
528,410,262,0.8095779218464535,0
529,100,95,0.8092540906777149,0
530,80,28,0.8089303890414439,0
531,280,238,0.8086068168858274,0
532,180,100,0.808283374159073,0
533,260,134,0.8079600608094094,0
534,210,148,0.8076368767850857,0
535,280,129,0.8073138220343716,0
536,170,80,0.8069908965055579,0
537,40,11,0.8066681001469557,0
538,50,39,0.806345432906897,0
539,300,76,0.8060228947337342,0
540,510,221,0.8057004855758407,0
541,350,143,0.8053782053816104,0
542,180,105,0.8050560540994578,0
543,160,78,0.8047340316778181,0
544,320,172,0.804412138065147,0
545,90,152,0.8040903732099209,0
546,130,68,0.803768737060637,0
547,250,126,0.8034472295658128,0
548,120,38,0.8031258506739866,0
549,100,61,0.802804600333717,0
550,160,79,0.8024834784935836,0
551,70,23,0.8021624851021862,0
552,80,47,0.8018416201081454,0
553,260,135,0.8015208834601022,0
554,280,246,0.8012002751067182,0
555,300,198,0.8008797949966756,0
556,270,97,0.800559443078677,0
557,330,156,0.8002392193014456,0
558,340,97,0.7999191236137251,0
559,280,142,0.7995991559642797,0
560,530,222,0.799279316301894,0
561,110,45,0.7989596045753733,0
562,210,115,0.7986400207335432,0
563,370,155,0.7983205647252498,0
564,70,27,0.7980012364993597,0
565,550,286,0.7976820360047601,0
566,320,102,0.7973629631903582,0
567,110,72,0.7970440180050821,0
568,40,16,0.7967252003978801,0
569,320,141,0.7964065103177209,0
570,370,150,0.7960879477135938,0
571,110,46,0.7957695125345084,0
572,140,26,0.7954512047294947,0
573,100,49,0.7951330242476029,0
574,60,20,0.7948149710379039,0
